player_id,name,hometown,positions,year,height,weight,season_wins,season_losses,season_games,season_ppg,season_opp_ppg,season_total,season_opp_total,class,performances,height_inches,weight_lbs
-1802350854452106355,jahon myers,"luella, ga.",dl,2023,"6'3""",265 lbs,0,0,9,26.11,0,235.0,0,sr.,[],9.0,265.0
-1802350854452106355,jahon myers,"luella, ga.",dl,2024,"6'3""",260 lbs,0,0,4,12.25,0,49.0,0,,[],9.0,260.0
1247008212181399123,nicholas charles,"kennesaw, ga.",dl,2020,"6'3""",230 lbs,0,0,5,29.6,0,148.0,0,r-so.,[],9.0,230.0
1247008212181399123,nicholas charles,"kennesaw, ga.",dl,2024,"6'3""",230 lbs,0,0,4,12.25,0,49.0,0,,[],9.0,230.0
3408049029441857254,jose balver-mendoza,"athens, ga.",ol,2020,"6'5""",290 lbs,0,0,5,29.6,0,148.0,0,fr.,[],11.0,290.0
3408049029441857254,jose balver-mendoza,"athens, ga.",ol,2024,"6'5""",290 lbs,0,0,4,12.25,0,49.0,0,,[],11.0,290.0
-1359644221329141929,jaiden grimes,"marietta, ga.",dl,2020,"6'2""",275 lbs,0,0,5,29.6,0,148.0,0,fr.,[],8.0,275.0
-1359644221329141929,jaiden grimes,"marietta, ga.",dl,2024,"6'2""",275 lbs,0,0,4,12.25,0,49.0,0,,[],8.0,275.0
5862085035267574893,isaac cannizzaro,"lilburn, ga.",ol,2020,"6'4""",260 lbs,0,0,5,29.6,0,148.0,0,fr.,[],10.0,260.0
5862085035267574893,isaac cannizzaro,"lilburn, ga.",ol,2024,"6'4""",260 lbs,0,0,4,12.25,0,49.0,0,,[],10.0,260.0
2100260916629046530,jt pennington,"wilsonville, ala.",ol,2020,"6'4""",305 lbs,0,0,5,29.6,0,148.0,0,r-jr.,[],10.0,305.0
2100260916629046530,jt pennington,"wilsonville, ala.",ol,2023,"6'4""",310 lbs,0,0,9,26.11,0,235.0,0,so.,[],10.0,310.0
2100260916629046530,jt pennington,"wilsonville, ala.",ol,2024,"6'4""",305 lbs,0,0,4,12.25,0,49.0,0,,[],10.0,305.0
3556108645940050226,zacchaeus williams,"jackson, miss.",ol,2020,"6'4""",305 lbs,0,0,5,29.6,0,148.0,0,r-jr.,[],10.0,305.0
3556108645940050226,zacchaeus williams,"jackson, miss.",ol,2024,"6'4""",305 lbs,0,0,4,12.25,0,49.0,0,,[],10.0,305.0
-8437787051429791919,jarvis adams,"rome, ga.",ol,2020,"6'1""",275 lbs,0,0,5,29.6,0,148.0,0,fr.,[],7.0,275.0
-8437787051429791919,jarvis adams,"rome, ga.",ol,2024,"6'1""",275 lbs,0,0,4,12.25,0,49.0,0,,[],7.0,275.0
1356467293990494611,jacob norcross,"henderson, nev.",ol,2020,"6'2""",285 lbs,0,0,5,29.6,0,148.0,0,fr.,[],8.0,285.0
1356467293990494611,jacob norcross,"henderson, nev.",ol,2024,"6'2""",285 lbs,0,0,4,12.25,0,49.0,0,,[],8.0,285.0
-3387511283977245056,bryce robinson,"winston, ga.",ls,2020,"6'6""",265 lbs,0,0,5,29.6,0,148.0,0,r-so.,[],12.0,265.0
-3387511283977245056,bryce robinson,"winston, ga.",ls,2024,"6'6""",265 lbs,0,0,4,12.25,0,49.0,0,,[],12.0,265.0
-743251630844980570,benton dunn,"troy, ala.",ol,2020,"6'3""",295 lbs,0,0,5,29.6,0,148.0,0,fr.,[],9.0,295.0
-743251630844980570,benton dunn,"troy, ala.",ol,2024,"6'3""",295 lbs,0,0,4,12.25,0,49.0,0,,[],9.0,295.0
9143103655146788534,chevy trask,"philadelphia, penn.",ol,2020,"6'4""",285 lbs,0,0,5,29.6,0,148.0,0,r-jr.,[],10.0,285.0
9143103655146788534,chevy trask,"philadelphia, penn.",ol,2024,"6'4""",285 lbs,0,0,4,12.25,0,49.0,0,,[],10.0,285.0
-3950233940561181334,nate wright,"gardendale, ala.",ol,2020,"6'3""",275 lbs,0,0,5,29.6,0,148.0,0,fr.,[],9.0,275.0
-3950233940561181334,nate wright,"gardendale, ala.",ol,2022,"6'3""",255 lbs,0,0,11,27.45,0,302.0,0,r-so.,[],9.0,255.0
-3950233940561181334,nate wright,"gardendale, ala.",ol,2023,"6'3""",265 lbs,0,0,9,26.11,0,235.0,0,so.,[],9.0,265.0
-3950233940561181334,nate wright,"gardendale, ala.",ol,2024,"6'3""",275 lbs,0,0,4,12.25,0,49.0,0,,[],9.0,275.0
3974214152026134719,ethan newman,"navarre, fla.",ol,2020,"6'3""",300 lbs,0,0,5,29.6,0,148.0,0,fr.,[],9.0,300.0
3974214152026134719,ethan newman,"navarre, fla.",ol,2023,"6'3""",300 lbs,0,0,9,26.11,0,235.0,0,r-fr.,[],9.0,300.0
3974214152026134719,ethan newman,"navarre, fla.",ol,2024,"6'3""",300 lbs,0,0,4,12.25,0,49.0,0,,[],9.0,300.0
8338164151502413957,jacob kettels,"lynden, wash.",ol,2020,"6'5""",295 lbs,0,0,5,29.6,0,148.0,0,r-jr.,[],11.0,295.0
8338164151502413957,jacob kettels,"lynden, wash.",ol,2024,"6'5""",295 lbs,0,0,4,12.25,0,49.0,0,,[],11.0,295.0
-8779431013183718024,tyler hoffman,"cumming, ga.",dl,2020,"6'4""",225 lbs,0,0,5,29.6,0,148.0,0,fr.,[],10.0,225.0
-8779431013183718024,tyler hoffman,"cumming, ga.",dl,2024,"6'4""",225 lbs,0,0,4,12.25,0,49.0,0,,[],10.0,225.0
2180296305270926612,havik pettigrew,"acworth, ga.",ol,2020,"6'0""",270 lbs,0,0,5,29.6,0,148.0,0,fr.,[],6.0,270.0
2180296305270926612,havik pettigrew,"acworth, ga.",ol,2022,"6'0""",250 lbs,0,0,11,27.45,0,302.0,0,r-so.,[],6.0,250.0
2180296305270926612,havik pettigrew,"acworth, ga.",ol,2023,"6'0""",250 lbs,0,0,9,26.11,0,235.0,0,so.,[],6.0,250.0
2180296305270926612,havik pettigrew,"acworth, ga.",ol,2024,"6'0""",270 lbs,0,0,4,12.25,0,49.0,0,,[],6.0,270.0
