name,season,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks,prev_games_played,prev_games_started,prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss,prev_tackles_for_loss_yards,prev_sacks,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks
"nelson, clayton",2022,,72,190,"buford, ga.",wr,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ness, jack",2019,,72,203,"buford, ga.",lb,8,0,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,0.0,3.0,2.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"o'neal, caleb",2019,,74,190,"chickamauga, ga.",wr,12,12,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"o'neal, caleb",2021,,74,200,"chickamauga, ga.",wr,13,12,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"outlaw, sam",2019,,73,221,"cumming, ga.",rb,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"parker, joel",2021,,72,250,"birmingham, ala.",dl,8,7,8,4,12,30.0,30.0,0,0,1,0,0,4.0,4.0,13.0,2.0,10.0,7.0,17.0,8.5,61.0,4.0,32.0,0.0,0.0,0.0,1.0,0.0
"parker, joel",2022,,72,250,"birmingham, ala.",dl,10,8,8,15,23,5.0,0.0,0,1,0,0,0,3.5,0.0,8.0,7.0,8.0,4.0,12.0,4.0,30.0,4.0,30.0,0.0,0.0,1.0,0.0,0.0
"patrick, charlie",2019,,72,215,"atlanta, ga.",lb,11,7,19,18,37,16.0,10.0,1,3,0,0,0,5.5,3.0,12.0,8.0,40.0,15.0,55.0,10.5,25.0,1.0,6.0,0.0,2.0,1.0,0.0,0.0
"paxton, terrell",2019,,72,304,"stone mountain, ga.",ol,13,12,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"paxton, terrell",2021,,72,310,"stone mountain, ga.",ol,11,9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"paxton, terrell",2022,,72,310,"stone mountain, ga.",ol,10,9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"perry, bryson",2019,,69,181,"canton, ga.",db,13,6,30,9,39,7.0,0.0,1,4,2,0,0,4.0,0.0,11.0,5.0,8.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"pettway, demetrius",2019,,73,186,"phenix city, ala.",lb,12,12,25,11,36,10.0,0.0,2,5,0,0,0,1.0,0.0,13.0,1.0,14.0,9.0,23.0,0.5,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
"pinholster, carter",2022,,73,190,"fort payne, ala.",wr,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"radam, cade",2021,,72,205,"canton, ga.",rb,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"rechsteiner, bronson",2019,,72,230,"acworth, ga.",rb,14,11,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"reed, tj",2019,,69,173,"daphne, ala.",rb,14,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"reese, kerick",2021,,74,220,"stockbridge, ga.",dl,11,7,25,14,39,33.0,26.0,0,0,1,0,0,8.0,3.5,4.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"robertson, nathan",2019,,70,160,"columbus, ga.",k,14,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"robertson, nathan",2021,,70,160,"columbus, ga.",k,11,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"robertson, nathan",2022,,70,160,"columbus, ga.",k,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"scott, desmond",2019,,72,305,"pinson, ala.",dl,14,14,10,10,20,11.0,3.0,0,0,0,0,0,2.5,1.0,13.0,0.0,10.0,7.0,17.0,2.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"scott, desmond",2021,,72,285,"pinson, ala.",dl,12,12,8,14,22,9.0,7.0,0,0,0,1,1,2.5,1.5,14.0,14.0,10.0,10.0,20.0,2.5,11.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
"scott, desmond",2022,,72,285,"pinson, ala.",dl,8,5,4,12,16,15.0,11.0,0,1,1,0,0,2.5,1.5,12.0,12.0,8.0,14.0,22.0,2.5,9.0,1.5,7.0,0.0,0.0,0.0,1.0,1.0
