name,season,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks,prev_games_played,prev_games_started,prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss,prev_tackles_for_loss_yards,prev_sacks,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks
"jenkins, william",2021,,72,200,"decatur, ga.",lb,3,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jenkins, william",2022,,72,215,"decatur, ga.",lb,11,2,12,10,22,3.0,0.0,0,0,0,0,0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"johnson, donelius",2022,,72,215,"patterson, ga.",lb,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"johnson, donelius",2023,exercise science,72,230,"patterson, ga.",lb,8,4,20,12,32,19.0,15.0,0,0,2,1,0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"johnson, donelius",2024,exercise science,72,220,"patterson, ga.",lb,4,1,4,15,19,25.0,22.0,0,0,0,0,0,3.5,2.0,8.0,4.0,20.0,12.0,32.0,4.0,19.0,2.0,15.0,0.0,0.0,2.0,1.0,0.0
"jones, luther",2017,,72,296,"blairsville, ga.",ol,11,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"jones, milon",2022,,71,175,"marietta, ga.",db,5,0,1,4,5,0.0,0.0,0,1,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"jones, milon",2023,finance,71,185,"marietta, ga.",db,8,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,5.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"jones, milon",2024,finance,71,190,"marietta, ga.",db,4,1,6,14,20,1.0,0.0,0,1,1,0,0,0.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jones, randy",2018,,66,176,"elberton, ga.",rb,5,0,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
